SUBJ	DUR	RESP
ad	290	0
ad	490	1
ad	380	0
ad	410	1
ad	460	1
ad	330	0
ad	450	1
ad	440	1
ad	420	1
ad	450	1
ad	490	1
ad	250	0
ad	310	0
ad	280	1
ad	270	0
ad	430	1
ad	320	0
ad	460	1
ad	300	0
ad	470	0
ad	490	0
ad	440	1
ad	320	0
ad	450	1
ad	480	1
ad	300	0
ad	430	1
ad	260	0
ad	490	1
ad	440	1
ad	420	0
ad	420	1
ad	470	0
ad	490	0
ad	470	1
ad	400	0
ad	400	1
ad	480	1
ad	490	1
ad	380	1
ad	250	0
ad	500	1
ad	450	1
ad	290	0
ad	270	0
ad	260	0
ad	380	1
ad	290	0
ad	310	0
ad	450	0
ad	410	0
ad	430	1
ad	490	1
ad	460	0
ad	460	0
ad	410	0
ad	480	0
ad	380	0
ad	490	0
ad	260	0
ad	450	0
ad	340	1
ad	500	1
ad	370	0
ad	420	0
ad	380	0
ad	430	0
ad	480	1
ad	350	0
ad	470	0
ad	400	1
ad	500	1
ad	350	1
ad	330	0
ad	490	1
ad	470	0
ad	420	1
ad	410	0
ad	400	1
ad	460	1
ad	280	0
ad	480	1
ad	340	1
ad	380	0
ad	490	1
ad	280	0
ad	320	0
ad	460	1
ad	290	0
ad	460	1
ad	500	1
ad	380	1
ad	500	1
ad	500	1
ad	420	0
ad	370	1
ad	480	1
ad	420	0
ad	420	1
ad	450	1
ad	490	1
ad	400	1
ad	450	1
ad	370	1
ad	420	0
ad	360	0
ad	460	0
ad	490	1
ad	410	1
ad	340	1
ad	300	0
ad	430	1
ad	480	1
ad	500	1
ad	390	0
ad	340	0
ad	340	0
ad	380	1
ad	420	1
ad	370	0
ad	440	1
ad	470	1
ad	400	0
ad	280	0
ad	430	1
ad	490	0
ad	370	0
ad	340	0
ad	490	0
ad	430	1
ad	350	1
ad	260	0
ad	270	0
ad	470	1
ad	310	1
ad	250	1
ad	250	1
cc	420	0
cc	280	0
cc	410	1
cc	450	0
cc	490	1
cc	450	0
cc	320	0
cc	330	0
cc	340	0
cc	450	0
cc	430	0
cc	440	0
cc	430	0
cc	470	1
cc	320	0
cc	500	1
cc	500	1
cc	380	0
cc	450	0
cc	370	0
cc	370	0
cc	450	1
cc	270	0
cc	320	1
cc	390	1
cc	360	1
cc	320	1
cc	420	0
cc	450	1
cc	320	0
cc	410	0
cc	430	0
cc	320	0
cc	430	0
cc	460	1
cc	430	0
cc	360	1
cc	430	1
cc	350	0
cc	250	0
cc	470	0
cc	420	0
cc	280	0
cc	270	0
cc	290	0
cc	320	0
cc	280	0
cc	410	0
cc	380	1
cc	400	1
cc	440	0
cc	340	0
cc	420	1
cc	440	1
cc	310	0
cc	480	0
cc	460	1
cc	410	0
cc	410	0
cc	370	0
cc	480	1
cc	440	0
cc	390	0
cc	450	0
cc	330	0
cc	280	0
cc	380	0
cc	350	0
cc	330	0
cc	430	1
cc	460	0
cc	290	0
cc	450	0
cc	320	0
cc	410	0
cc	470	0
cc	360	0
cc	430	0
cc	440	0
cc	440	0
cc	480	1
cc	270	0
cc	330	0
cc	400	0
cc	430	0
cc	420	1
cc	430	1
cc	390	1
cc	490	0
cc	360	0
cc	460	0
cc	470	1
cc	370	1
cc	420	1
cc	400	0
cc	470	1
cc	450	1
cc	450	0
cc	330	0
cc	400	1
cc	380	0
cc	410	0
cc	470	1
cc	500	0
cc	500	0
cc	400	0
cc	360	0
cc	430	1
cc	490	1
cc	410	0
cc	460	1
cc	450	0
cc	280	0
cc	310	0
cc	250	0
cc	310	0
cc	400	0
cc	360	0
cc	340	0
cc	300	0
cc	310	0
cc	370	0
cc	460	1
cc	440	0
cc	350	0
cc	370	0
cc	450	1
cc	450	0
cc	380	0
cc	480	1
cc	390	1
cc	490	1
cc	420	1
cc	450	1
cc	270	0
cc	450	0
cc	380	0
cc	430	0
cc	290	0
cc	260	0
cc	290	0
cc	290	0
cc	280	0
eb	460	0
eb	390	0
eb	410	0
eb	430	0
eb	250	0
eb	460	0
eb	350	0
eb	500	0
eb	430	1
eb	440	0
eb	450	0
eb	460	1
